UnifiedAssetId,Component,ComponentAssetId,AssetStatus,CanonicalName,SourceType,Category,ContextOrSubcategory,Family,PublicRelativePath,ByteLength,SHA256,OriginalComponentPath
ITEM::i004_0001_00,ITEM,i004_0001_00,READY,Coins,STANDALONE_ITEM,Currency & Points,Coins,,Items/Currency & Points/Coins/i004_0001_00__Coins.png,22766,6DE02021169DEDC2A0DA3EA8BCD6F62D8CC84B427DF813198B957138A70A7D15,assets/Currency & Points/Coins/i004_0001_00__Coins.png
ITEM::i006_0001_00,ITEM,i006_0001_00,READY,Rank Points,STANDALONE_ITEM,Currency & Points,Rank Points,,Items/Currency & Points/Rank Points/i006_0001_00__Rank Points.png,21940,871DF4463AF08AD592617C3B58F07D66A977AB402CA0D535443B422E9A3243C9,assets/Currency & Points/Rank Points/i006_0001_00__Rank Points.png
ITEM::i007_0001_00,ITEM,i007_0001_00,READY,Stamina Refill,STANDALONE_ITEM,Battle & Event,Stamina,,Items/Battle & Event/Stamina/i007_0001_00__Stamina Refill.png,18711,EF7B87898EC69C5B5A1DADB6EE7E1E566E040ECCFF2184C04E90C979AD424E5C,assets/Battle & Event/Stamina/i007_0001_00__Stamina Refill.png
ITEM::i008_0001_00,ITEM,i008_0001_00,READY,Sync Orb Reward Boost,STANDALONE_ITEM,Training & Upgrades,Reward Boosts,,Items/Training & Upgrades/Reward Boosts/i008_0001_00__Sync Orb Reward Boost.png,12578,FB200AF8412D749D630E8C34F398A6F0C23A22DE0F7D436FA0EAC7803E3717E6,assets/Training & Upgrades/Reward Boosts/i008_0001_00__Sync Orb Reward Boost.png
ITEM::i041_0001_00,ITEM,i041_0001_00,READY,Gems,STANDALONE_ITEM,Currency & Points,Gems,,Items/Currency & Points/Gems/i041_0001_00__Gems.png,19890,41417C963EE67807E521616A22C5B7B0AFF56C0E5892B4932916C2236BBABDE8,assets/Currency & Points/Gems/i041_0001_00__Gems.png
ITEM::i045_0001_00,ITEM,i045_0001_00,READY,Pearl,STANDALONE_ITEM,Miscellaneous,General Items & Vouchers,,Items/Miscellaneous/General Items & Vouchers/i045_0001_00__Pearl.png,11422,65111EACCC9E768FD1BD3EC26E352CC38FD95C644D3BD53A682990E0A0037D7C,assets/Miscellaneous/General Items & Vouchers/i045_0001_00__Pearl.png
ITEM::i045_0002_00,ITEM,i045_0002_00,READY,Big Pearl,STANDALONE_ITEM,Miscellaneous,General Items & Vouchers,,Items/Miscellaneous/General Items & Vouchers/i045_0002_00__Big Pearl.png,15533,B0575608CB98EC507FC0A62A81F12F528DC0B135A04D3214DDCD0623CE98FFF1,assets/Miscellaneous/General Items & Vouchers/i045_0002_00__Big Pearl.png
ITEM::i045_0011_00,ITEM,i045_0011_00,READY,Daily Voucher,STANDALONE_ITEM,Miscellaneous,General Items & Vouchers,,Items/Miscellaneous/General Items & Vouchers/i045_0011_00__Daily Voucher.png,16999,ADD90797546B26D79537453BAA60DA5F3AEFADEC9FC986A942EB7639F487B477,assets/Miscellaneous/General Items & Vouchers/i045_0011_00__Daily Voucher.png
ITEM::i045_0011_01,ITEM,i045_0011_01,READY,Egg Research Ticket,STANDALONE_ITEM,Miscellaneous,General Items & Vouchers,,Items/Miscellaneous/General Items & Vouchers/i045_0011_01__Egg Research Ticket.png,15689,E2F8C9E4857D146D753771D5936B669FE6FF8127BA7CF73D3555DF3A2201E208,assets/Miscellaneous/General Items & Vouchers/i045_0011_01__Egg Research Ticket.png
ITEM::i045_0012_00,ITEM,i045_0012_00,READY,Bingo Voucher,STANDALONE_ITEM,Miscellaneous,General Items & Vouchers,,Items/Miscellaneous/General Items & Vouchers/i045_0012_00__Bingo Voucher.png,16520,13FDC52D6B4881FD243C1D014471E9A56858E32D10C487FB557C1A8C0562A4B6,assets/Miscellaneous/General Items & Vouchers/i045_0012_00__Bingo Voucher.png
ITEM::i045_0013_00,ITEM,i045_0013_00,READY,Daily Ticket,STANDALONE_ITEM,Miscellaneous,General Items & Vouchers,,Items/Miscellaneous/General Items & Vouchers/i045_0013_00__Daily Ticket.png,15292,BE9D921DB9A89D455592D5AE0A543FC179441ACB8B0376F528DF87FA87CCB673,assets/Miscellaneous/General Items & Vouchers/i045_0013_00__Daily Ticket.png
ITEM::i045_0014_00,ITEM,i045_0014_00,READY,Roll Cake Coin Voucher,STANDALONE_ITEM,Miscellaneous,General Items & Vouchers,,Items/Miscellaneous/General Items & Vouchers/i045_0014_00__Roll Cake Coin Voucher.png,18580,FCCB0837A8ABE349B1B9757E12F19BBB170D9919054ED3CDB08F641C34C6E3EA,assets/Miscellaneous/General Items & Vouchers/i045_0014_00__Roll Cake Coin Voucher.png
ITEM::i051_0001_00,ITEM,i051_0001_00,READY,Buff Blend,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0001_00__Buff Blend.png,16633,CE246608351F324CD301B187F841E26FCA18D9BCE419A371DFE9BEB0336E3B9F,assets/Training & Upgrades/Drinks & Training Machines/i051_0001_00__Buff Blend.png
ITEM::i051_0001_01,ITEM,i051_0001_01,READY,Great Buff Blend,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0001_01__Great Buff Blend.png,21644,022B2CD2FC68D5BC348F4753976AD74F153A0CE9B3D62F9AB54871A84351979E,assets/Training & Upgrades/Drinks & Training Machines/i051_0001_01__Great Buff Blend.png
ITEM::i051_0001_02,ITEM,i051_0001_02,READY,Ultra Buff Blend,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0001_02__Ultra Buff Blend.png,20742,BB7437539532A918A58BD7A57BBD98211D6FF6FCEE27AC84003191F19E359D8C,assets/Training & Upgrades/Drinks & Training Machines/i051_0001_02__Ultra Buff Blend.png
ITEM::i051_0001_03,ITEM,i051_0001_03,READY,Buff Blend +,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0001_03__Buff Blend +.png,17497,772C6782B1F8C5FB12D3D38771FF4DEC748C5381DEAA7761263217F0F0161987,assets/Training & Upgrades/Drinks & Training Machines/i051_0001_03__Buff Blend +.png
ITEM::i051_0001_04,ITEM,i051_0001_04,READY,Great Buff Blend +,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0001_04__Great Buff Blend +.png,22203,CB0599ECB3658BB08484F02A6D5FBCE67BF016B4754D3F2AF487D99D356DB673,assets/Training & Upgrades/Drinks & Training Machines/i051_0001_04__Great Buff Blend +.png
ITEM::i051_0001_05,ITEM,i051_0001_05,READY,Ultra Buff Blend +,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0001_05__Ultra Buff Blend +.png,22189,D871C1E76E187D4B78F1FFAF9C884F2FE6E3FD14D7314E7263602CF9D44B5C23,assets/Training & Upgrades/Drinks & Training Machines/i051_0001_05__Ultra Buff Blend +.png
ITEM::i051_0001_06,ITEM,i051_0001_06,READY,Buff Blend ++,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0001_06__Buff Blend ++.png,16165,E1F7F98CD1BF2AC73398E8AA8E8120DFD625A9CEEE25A31D455715DA8CC5883C,assets/Training & Upgrades/Drinks & Training Machines/i051_0001_06__Buff Blend ++.png
ITEM::i051_0001_07,ITEM,i051_0001_07,READY,Great Buff Blend ++,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0001_07__Great Buff Blend ++.png,21372,DF0419BF74E6876AD6C35E198B175ED68C04F8000C426CBA86CAE8FF3AC7058C,assets/Training & Upgrades/Drinks & Training Machines/i051_0001_07__Great Buff Blend ++.png
ITEM::i051_0002_00,ITEM,i051_0002_00,READY,Tech Tonic,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0002_00__Tech Tonic.png,16617,A0C4957102F98DAF07E4AD9C4BBCC3480302426A8AAC6C91A430492983654AEB,assets/Training & Upgrades/Drinks & Training Machines/i051_0002_00__Tech Tonic.png
ITEM::i051_0002_01,ITEM,i051_0002_01,READY,Great Tech Tonic,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0002_01__Great Tech Tonic.png,21347,BE94AEA2CD96532F8073B545849344B3B71A47024C8DB91F172727BC46B03A26,assets/Training & Upgrades/Drinks & Training Machines/i051_0002_01__Great Tech Tonic.png
ITEM::i051_0002_02,ITEM,i051_0002_02,READY,Ultra Tech Tonic,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0002_02__Ultra Tech Tonic.png,20642,16366EDBA3C1E1449BBABFEFD057F6CB481940F54D4B3AF74ADC672710F1C09F,assets/Training & Upgrades/Drinks & Training Machines/i051_0002_02__Ultra Tech Tonic.png
ITEM::i051_0002_03,ITEM,i051_0002_03,READY,Tech Tonic +,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0002_03__Tech Tonic +.png,17176,D6844BB20C93B51B36AC99563E117B6CEB9A3D301C94C10DD6BB525DD3DBA755,assets/Training & Upgrades/Drinks & Training Machines/i051_0002_03__Tech Tonic +.png
ITEM::i051_0002_04,ITEM,i051_0002_04,READY,Great Tech Tonic +,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0002_04__Great Tech Tonic +.png,21973,D3FED17A072716B4242140CFC178A5D45488B7E8DF83806F9BDC865282D214FF,assets/Training & Upgrades/Drinks & Training Machines/i051_0002_04__Great Tech Tonic +.png
ITEM::i051_0002_05,ITEM,i051_0002_05,READY,Ultra Tech Tonic +,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0002_05__Ultra Tech Tonic +.png,22248,ED7C84497D2D5091CE854CE8B09C9C10D7CCC7E795C21B1F98AFEE63397F85B1,assets/Training & Upgrades/Drinks & Training Machines/i051_0002_05__Ultra Tech Tonic +.png
ITEM::i051_0002_06,ITEM,i051_0002_06,READY,Tech Tonic ++,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0002_06__Tech Tonic ++.png,16165,F3C0EB8A4ABB6BF15DE3DE4BFAA50CE34A2FBC64F8D85A898CCDB4A32D54811C,assets/Training & Upgrades/Drinks & Training Machines/i051_0002_06__Tech Tonic ++.png
ITEM::i051_0002_07,ITEM,i051_0002_07,READY,Great Tech Tonic ++,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0002_07__Great Tech Tonic ++.png,21529,71482D155259E29962FC4665C697101B2CB3B6D09F5F46A1159DC95E289410C7,assets/Training & Upgrades/Drinks & Training Machines/i051_0002_07__Great Tech Tonic ++.png
ITEM::i051_0003_00,ITEM,i051_0003_00,READY,Aid Ade,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0003_00__Aid Ade.png,16378,1EAE486B35238863F7B13525180CA70BDAA69279F987BD407FFD02C179EC605F,assets/Training & Upgrades/Drinks & Training Machines/i051_0003_00__Aid Ade.png
ITEM::i051_0003_01,ITEM,i051_0003_01,READY,Great Aid Ade,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0003_01__Great Aid Ade.png,21030,09970B33EBDFF266244E7C6965221CA0D0851B8ACAC097C0647CC7DE4313B7E7,assets/Training & Upgrades/Drinks & Training Machines/i051_0003_01__Great Aid Ade.png
ITEM::i051_0003_02,ITEM,i051_0003_02,READY,Ultra Aid Ade,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0003_02__Ultra Aid Ade.png,20776,97F22D6CE65CBE99BCBD09997ABD896AE51602E4DB57486F9999BFA68101AEB9,assets/Training & Upgrades/Drinks & Training Machines/i051_0003_02__Ultra Aid Ade.png
ITEM::i051_0003_03,ITEM,i051_0003_03,READY,Aid Ade +,STANDALONE_ITEM,Training & Upgrades,Drinks & Training Machines,,Items/Training & Upgrades/Drinks & Training Machines/i051_0003_03__Aid Ade +.png,17518,FC0C208E88A10F61797C51782CEF97491ED948FDC7F4A5930638A5ACD179E2B5,assets/Training & Upgrades/Drinks & Training Machines/i051_0003_03__Aid Ade +.png
